id,name,code,category,route,segment,evidenceLevel,orderStatus,roboticsRevenueRatio,score_relevance,score_visibility,score_elasticity,score_quality,score_total,lastUpdated
luxshare,立讯精密,002475,订单验证型,electric,oem,reported,pending,,95,95,85,88,91,2026-05-25
hanwei,汉威科技,300007,逻辑映射型,bionic,sensing,inferred,pending,,88,52,90,68,74,2026-05-25
leader,绿的谐波,688017,BOM高相关型,electric,reducer,verified,pending,,92,88,82,90,89,2026-05-25
tuopu,拓普集团,601689,BOM高相关型,electric,actuator,bom,pending,,88,85,82,85,85,2026-05-25
sanhua,三花智控,002050,BOM高相关型,electric,thermal,bom,pending,,80,82,78,86,81,2026-05-25
mingzhi,鸣志电器,603728,BOM高相关型,electric,motor,bom,pending,,82,78,75,82,79,2026-05-25
keli,柯力传感,603662,BOM高相关型,mobile,force,bom,pending,,78,72,70,80,75,2026-05-25
inovance,汇川技术,300124,BOM高相关型,service,servo,bom,pending,,85,88,75,88,84,2026-05-25
estun,埃斯顿,002747,BOM高相关型,service,body,bom,pending,,80,82,72,78,79,2026-05-25
tzcl,天准科技,688003,逻辑映射型,mobile,vision,map,pending,,70,68,65,78,70,2026-05-25
zhaowei,兆威机电,003021,逻辑映射型,bionic,micro,map,pending,,74,58,85,68,71,2026-05-25
orbbec,奥比中光,688322,逻辑映射型,mobile,vision,map,pending,,74,65,78,72,72,2026-05-25
leisai,雷赛智能,002979,主题传闻型,service,servo,theme,pending,,68,70,62,72,68,2026-05-25
zdld,中大力德,002896,BOM高相关型,industrial,reducer,bom,pending,,76,75,68,82,75,2026-05-25
fengli,丰立智能,301368,主题传闻型,electric,reducer,theme,pending,,72,62,75,68,69,2026-05-25
weichuang,伟创电气,688698,主题传闻型,service,servo,theme,pending,,65,68,58,70,65,2026-05-25
beit,北特科技,603009,BOM高相关型,electric,leadscrew,bom,pending,,78,70,80,74,75,2026-05-25
shuanghuan,双环传动,002472,BOM高相关型,electric,reducer,bom,pending,,82,80,72,88,81,2026-05-25
